  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  7.6500e-13          101.18987232    184462270.03999460        2307.29572687           -0.85558880         2306.44013808 
  7.7000e-13          101.13258705     57767040.79904337        2305.98952838           -0.86347590         2305.12605248 
  7.7500e-13          101.05589851    172816247.22602352        2304.24090342           -0.87156821         2303.36933521 
  7.8000e-13          100.95946799    199581971.05128345        2302.04212876           -0.87980378         2301.16232498 
  7.8500e-13          100.84482290            0.00000000        2299.42803193           -0.88818541         2298.53984652 
  7.9000e-13          100.70813257            0.00000000        2296.31126733           -0.89658855         2295.41467878 
  7.9500e-13          100.55048554     82852587.33577287        2292.71665534           -0.90495693         2291.81169841 
  8.0000e-13          100.37641283     64663370.56569895        2288.74751090           -0.91323714         2287.83427376 
  8.0500e-13          100.18676613     62818096.02548306        2284.42325393           -0.92137898         2283.50187495 
  8.1000e-13           99.98466180     40673745.13708078        2279.81494242           -0.92933578         2278.88560665 
  8.1500e-13           99.77160875    145899561.29021925        2274.95698186           -0.93706461         2274.01991725 
  8.2000e-13           99.53636549     52575189.96368060        2269.59304820           -0.94452649         2268.64852170 
  8.2500e-13           99.29634768     26785077.41032336        2264.12024679           -0.95168646         2263.16856033 
  8.3000e-13           99.05395837     44394650.13588322        2258.59337151           -0.95851361         2257.63485790 
  8.3500e-13           98.81438787     48920596.85750351        2253.13076963           -0.96498109         2252.16578854 
  8.4000e-13           98.58042596     99841331.50920239        2247.79605270           -0.97106599         2246.82498671 
  8.4500e-13           98.35924710     47265490.83402531        2242.75281058           -0.97674930         2241.77606128 
  8.5000e-13           98.15077812            0.00000000        2237.99937443           -0.98201570         2237.01735872 
  8.5500e-13           97.95611074            0.00000000        2233.56063765           -0.98685343         2232.57378421 
  8.6000e-13           97.77808469            0.00000000        2229.50135040           -0.99125406         2228.51009633 
  8.6500e-13           97.61951263            0.00000000        2225.88564639           -0.99521229         2224.89043411 
  8.7000e-13           97.48321955            0.00000000        2222.77793981           -0.99872570         2221.77921411 
  8.7500e-13           97.37199807     26645073.59459255        2220.24190670           -1.00179455         2219.24011215 
  8.8000e-13           97.28906348            0.00000000        2218.35086147           -1.00442150         2217.34643997 
  8.8500e-13           97.23593336            0.00000000        2217.13940730           -1.00661142         2216.13279587 
  8.9000e-13           97.21403968     50761698.24192408        2216.64019533           -1.00837110         2215.63182422 
  8.9500e-13           97.22311588            0.00000000        2216.84714765           -1.00970907         2215.83743858 
  9.0000e-13           97.26306066            0.00000000        2217.75795453           -1.01063533         2216.74731920 
  9.0500e-13           97.33200724     31399035.52522333        2219.33005000           -1.01116120         2218.31888880 
  9.1000e-13           97.42757435    134108345.84832451        2221.50913750           -1.01129908         2220.49783842 
  9.1500e-13           97.54394799     46993105.59797427        2224.16264819           -1.01106228         2223.15158591 
  9.2000e-13           97.68010371            0.00000000        2227.26722280           -1.01046485         2226.25675796 
  9.2500e-13           97.83010423            0.00000000        2230.68748176           -1.00952140         2229.67796036 
  9.3000e-13           97.98964495     42377817.22695345        2234.32527282           -1.00824701         2233.31702582 
  9.3500e-13           98.15601336     46175612.27357859        2238.11874653           -1.00665702         2237.11208952 
  9.4000e-13           98.32458173     56844353.03844224        2241.96238289           -1.00476697         2240.95761591 
